FECHA,TIMESTAMP,TIPO_VIAJERO,PUNTO_TURISTICO,RESIDENCIA,VIAJEROS,PERNOCTACIONES
2006-01-01,1136070000000,Nacional,Vitoria-Gastéiz,Residentes en España,11510,19869
2006-02-01,1138748400000,Nacional,Vitoria-Gastéiz,Residentes en España,12404,21591
2006-03-01,1141167600000,Nacional,Vitoria-Gastéiz,Residentes en España,17011,27638
2006-04-01,1143842400000,Nacional,Vitoria-Gastéiz,Residentes en España,16748,30668
2006-05-01,1146434400000,Nacional,Vitoria-Gastéiz,Residentes en España,14423,26195
2006-06-01,1149112800000,Nacional,Vitoria-Gastéiz,Residentes en España,16456,28565
2006-07-01,1151704800000,Nacional,Vitoria-Gastéiz,Residentes en España,16541,30375
2006-08-01,1154383200000,Nacional,Vitoria-Gastéiz,Residentes en España,17885,39243
2006-09-01,1157061600000,Nacional,Vitoria-Gastéiz,Residentes en España,16006,31252
2006-10-01,1159653600000,Nacional,Vitoria-Gastéiz,Residentes en España,15748,29527
2006-11-01,1162335600000,Nacional,Vitoria-Gastéiz,Residentes en España,15111,26654
2006-12-01,1164927600000,Nacional,Vitoria-Gastéiz,Residentes en España,13827,25106
2007-01-01,1167606000000,Nacional,Vitoria-Gastéiz,Residentes en España,10908,19090
2007-02-01,1170284400000,Nacional,Vitoria-Gastéiz,Residentes en España,12201,21094
2007-03-01,1172703600000,Nacional,Vitoria-Gastéiz,Residentes en España,15106,26556
2007-04-01,1175378400000,Nacional,Vitoria-Gastéiz,Residentes en España,14513,27626
2007-05-01,1177970400000,Nacional,Vitoria-Gastéiz,Residentes en España,15724,26871
2007-06-01,1180648800000,Nacional,Vitoria-Gastéiz,Residentes en España,15835,29250
2007-07-01,1183240800000,Nacional,Vitoria-Gastéiz,Residentes en España,14959,29531
2007-08-01,1185919200000,Nacional,Vitoria-Gastéiz,Residentes en España,14036,32629
2007-09-01,1188597600000,Nacional,Vitoria-Gastéiz,Residentes en España,12887,26322
2007-10-01,1191189600000,Nacional,Vitoria-Gastéiz,Residentes en España,14547,26566
2007-11-01,1193871600000,Nacional,Vitoria-Gastéiz,Residentes en España,13879,25606
2007-12-01,1196463600000,Nacional,Vitoria-Gastéiz,Residentes en España,11709,21721
2008-01-01,1199142000000,Nacional,Vitoria-Gastéiz,Residentes en España,10874,19778
2008-02-01,1201820400000,Nacional,Vitoria-Gastéiz,Residentes en España,11651,24868
2008-03-01,1204326000000,Nacional,Vitoria-Gastéiz,Residentes en España,13546,25402
2008-04-01,1207000800000,Nacional,Vitoria-Gastéiz,Residentes en España,12676,22537
2008-05-01,1209592800000,Nacional,Vitoria-Gastéiz,Residentes en España,16125,27940
2008-06-01,1212271200000,Nacional,Vitoria-Gastéiz,Residentes en España,13548,24962
2008-07-01,1214863200000,Nacional,Vitoria-Gastéiz,Residentes en España,14655,26535
2008-08-01,1217541600000,Nacional,Vitoria-Gastéiz,Residentes en España,12104,26007
2008-09-01,1220220000000,Nacional,Vitoria-Gastéiz,Residentes en España,13109,25103
2008-10-01,1222812000000,Nacional,Vitoria-Gastéiz,Residentes en España,13375,24138
2008-11-01,1225494000000,Nacional,Vitoria-Gastéiz,Residentes en España,11342,21181
2008-12-01,1228086000000,Nacional,Vitoria-Gastéiz,Residentes en España,10671,20118
