COD,FK_ESCALA,FK_UNIDAD,ZONA,MONTH,TIPODATO,FECHA,SECRETO,TASA_PARO,YEAR
EPA452434,1,135,Total Nacional,3,1,1009839600000,false,11.55,2002
EPA452434,1,135,Total Nacional,6,1,1017612000000,false,11.15,2002
EPA452434,1,135,Total Nacional,9,1,1025474400000,false,11.49,2002
EPA452434,1,135,Total Nacional,12,1,1033423200000,false,11.61,2002
EPA452434,1,135,Total Nacional,3,1,1041375600000,false,11.99,2003
EPA452434,1,135,Total Nacional,6,1,1049148000000,false,11.28,2003
EPA452434,1,135,Total Nacional,9,1,1057010400000,false,11.3,2003
EPA452434,1,135,Total Nacional,12,1,1064959200000,false,11.37,2003
EPA452434,1,135,Total Nacional,3,1,1072911600000,false,11.5,2004
EPA452434,1,135,Total Nacional,6,1,1080770400000,false,11.09,2004
EPA452434,1,135,Total Nacional,9,1,1088632800000,false,10.74,2004
EPA452434,1,135,Total Nacional,12,1,1096581600000,false,10.53,2004
EPA452434,1,135,Total Nacional,3,1,1104534000000,false,10.17,2005
EPA452434,1,135,Total Nacional,6,1,1112306400000,false,9.32,2005
EPA452434,1,135,Total Nacional,9,1,1120168800000,false,8.41,2005
EPA452434,1,135,Total Nacional,12,1,1128117600000,false,8.71,2005
EPA452434,1,135,Total Nacional,3,1,1136070000000,false,9.03,2006
EPA452434,1,135,Total Nacional,6,1,1143842400000,false,8.44,2006
EPA452434,1,135,Total Nacional,9,1,1151704800000,false,8.08,2006
EPA452434,1,135,Total Nacional,12,1,1159653600000,false,8.26,2006
EPA452434,1,135,Total Nacional,3,1,1167606000000,false,8.42,2007
EPA452434,1,135,Total Nacional,6,1,1175378400000,false,7.93,2007
EPA452434,1,135,Total Nacional,9,1,1183240800000,false,8.01,2007
EPA452434,1,135,Total Nacional,12,1,1191189600000,false,8.57,2007
EPA452434,1,135,Total Nacional,3,1,1199142000000,false,9.6,2008
EPA452434,1,135,Total Nacional,6,1,1207000800000,false,10.36,2008
EPA452434,1,135,Total Nacional,9,1,1214863200000,false,11.23,2008
EPA452434,1,135,Total Nacional,12,1,1222812000000,false,13.79,2008
EPA452434,1,135,Total Nacional,3,1,1230764400000,false,17.24,2009
EPA452434,1,135,Total Nacional,6,1,1238536800000,false,17.77,2009
EPA452434,1,135,Total Nacional,9,1,1246399200000,false,17.75,2009
EPA452434,1,135,Total Nacional,12,1,1254348000000,false,18.66,2009
EPA452434,1,135,Total Nacional,3,1,1262300400000,false,19.84,2010
EPA452434,1,135,Total Nacional,6,1,1270072800000,false,19.89,2010
EPA452434,1,135,Total Nacional,9,1,1277935200000,false,19.59,2010
EPA452434,1,135,Total Nacional,12,1,1285884000000,false,20.11,2010
EPA452434,1,135,Total Nacional,3,1,1293836400000,false,21.08,2011
EPA452434,1,135,Total Nacional,6,1,1301608800000,false,20.64,2011
EPA452434,1,135,Total Nacional,9,1,1309471200000,false,21.28,2011
EPA452434,1,135,Total Nacional,12,1,1317420000000,false,22.56,2011
EPA452434,1,135,Total Nacional,3,1,1325372400000,false,24.19,2012
EPA452434,1,135,Total Nacional,6,1,1333231200000,false,24.4,2012
EPA452434,1,135,Total Nacional,9,1,1341093600000,false,24.79,2012
EPA452434,1,135,Total Nacional,12,1,1349042400000,false,25.77,2012
EPA452434,1,135,Total Nacional,3,1,1356994800000,false,26.94,2013
EPA452434,1,135,Total Nacional,6,1,1364767200000,false,26.06,2013
EPA452434,1,135,Total Nacional,9,1,1372629600000,false,25.65,2013
EPA452434,1,135,Total Nacional,12,1,1380578400000,false,25.73,2013
EPA452434,1,135,Total Nacional,3,1,1388530800000,false,25.93,2014
EPA452434,1,135,Total Nacional,6,1,1396303200000,false,24.47,2014
EPA452434,1,135,Total Nacional,9,1,1404165600000,false,23.67,2014
EPA452434,1,135,Total Nacional,12,1,1412114400000,false,23.7,2014
EPA452434,1,135,Total Nacional,3,1,1420066800000,false,23.78,2015
EPA452434,1,135,Total Nacional,6,1,1427839200000,false,22.37,2015
EPA452434,1,135,Total Nacional,9,1,1435701600000,false,21.18,2015
